Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep,Misc/cost_gradient_norm,Misc/A,Misc/B,Misc/q,Misc/r,Misc/s,Misc/Lambda_star,Misc/Nu_star,Misc/OptimCase
-0.14129327237606049,51.5,1000.0,0.0,1.410396933555603,0.00016945830429904163,10.0,1.0023831129074097,1.0023831129074097,1.0023831129074097,0.001685087219811976,0.0,0.9915369153022766,2048.0,-0.017662500962615013,-0.017662500962615013,-1.1175870895385742e-08,0.02164463698863983,0.02164463698863983,-0.0324859544634819,7.017387390136719,7.017387390136719,-0.22543182969093323,17.93551254272461,16.715559005737305,1.2196805477142334,17.935253143310547,114.18852996826172,0.64098060131073,0.29377564787864685,0.14860142767429352,0.04867883026599884,0.4500581920146942,1.0,0.3556411564350128,0.04866857826709747,-2499.903564453125,0.04867883026599884,-0.0016971484292298555,0.28090858459472656,0.0,0.26682865619659424,0.0
-0.19876715540885925,25.75,1000.0,1.0,1.413754940032959,0.00021552313410211354,10.0,1.00350821018219,1.0035083293914795,1.0035083293914795,0.0024807073641568422,0.0,0.9948734641075134,4096.0,-0.0022161807864904404,0.015446320176124573,2.2351741790771484e-08,0.004326481372117996,-0.017318155616521835,0.041702643036842346,0.4631182551383972,-6.5542691349983215,-0.5162634253501892,35.5355224609375,16.44532585144043,1.1129958629608154,17.558334350585938,116.6397705078125,0.46383851766586304,0.25279340147972107,0.33984482288360596,0.09296004474163055,0.4101963937282562,1.0,0.27933838963508606,0.08384186774492264,-5.11107873916626,0.09296004474163055,0.031616292893886566,0.10962606221437454,0.0,0.42712801694869995,0.0
-0.05546377971768379,103.83333587646484,1000.0,2.0,1.4207957983016968,0.0001468897971790284,10.0,0.9974951148033142,0.9974951148033142,0.9974951148033142,0.0017712353728711605,0.0,1.0019806623458862,6144.0,-0.045421551913022995,-0.043205371126532555,-7.450580596923828e-09,0.0024417885579168797,-0.0018846928142011166,0.0194079652428627,12.515424728393555,12.052306473255157,-0.8721585869789124,53.15080642700195,16.447080612182617,1.126786708831787,17.57387924194336,116.53659057617188,0.561160147190094,0.3075866401195526,0.30862993001937866,0.06351207196712494,0.39521732926368713,1.0,0.9691808223724365,0.06049653887748718,-3774.39892578125,0.06351207196712494,-0.07046394050121307,1.646530270576477,0.0,0.11021231859922409,0.0
-0.3533358573913574,77.875,1000.0,3.0,1.430580735206604,0.0001823648199206218,10.0,1.0036870241165161,1.0036871433258057,1.0036871433258057,0.0026071479078382254,0.0,1.0117826461791992,8192.0,-0.03445800766348839,0.010963544249534607,-5.21540641784668e-08,0.00173665932379663,-0.0007051292341202497,0.07214760780334473,1.3988287448883057,-11.116595983505249,-3.958287000656128,70.75740051269531,16.46055793762207,1.1064791679382324,17.56705093383789,116.58189392089844,0.42310041189193726,0.27832460403442383,0.2893143594264984,0.11172312498092651,0.6057253479957581,1.0,0.3750252425670624,0.09684251248836517,-9375.8095703125,0.11172312498092651,-0.06661252677440643,0.29818862676620483,0.0,0.2589819133281708,0.0
-0.3753156065940857,67.0999984741211,1000.0,4.0,1.4205126762390137,0.00021464022574946284,10.0,0.9972987174987793,0.9972987174987793,0.9972987174987793,0.001910095103085041,0.0,1.0016423463821411,10240.0,-0.023529881611466408,0.01092812605202198,0.0,0.0008970258058980107,-0.0008396335178986192,0.007061847485601902,1.7552398443222046,0.3564110994338989,1.289387583732605,88.4415512084961,16.544815063476562,1.1001605987548828,17.644987106323242,116.06696319580078,0.5681790709495544,0.23566223680973053,0.20869377255439758,0.06195259094238281,0.4538603723049164,1.0,0.6432563066482544,0.060821522027254105,-4836.07666015625,0.06195259094238281,-0.020360060036182404,0.3664959669113159,0.0,0.2336040735244751,0.0
-0.08314105123281479,65.91666412353516,1000.0,5.0,1.4117330312728882,0.00013860939361620694,10.0,1.0004299879074097,1.0004299879074097,1.0004299879074097,0.00030401928233914077,0.0,0.9928336143493652,12288.0,-0.035697661340236664,-0.012167779728770256,0.0,0.002940503414720297,0.002043477608822286,-0.03664594888687134,4.2311201095581055,2.475880265235901,-3.2985901832580566,106.03318786621094,16.441837310791016,1.117990255355835,17.55984115600586,116.6297607421875,0.5606598854064941,0.320443719625473,0.20854561030864716,0.06362546980381012,0.4650949537754059,1.0,0.5490850210189819,0.062073174864053726,-2027.8746337890625,0.06362546980381012,-0.03579847514629364,0.8255722522735596,0.0,0.15564581751823425,0.0
0.5497257709503174,64.64286041259766,1000.0,6.0,1.4122424125671387,0.00014980591367930174,10.0,1.0035971403121948,1.0035971403121948,1.0035971403121948,0.0025435341522097588,0.0,0.9933857917785645,14336.0,-0.027709074318408966,0.007988587021827698,-1.862645149230957e-08,0.013475337997078896,0.010534834582358599,0.06988734006881714,2.4215970039367676,-1.809523105621338,3.4255447387695312,123.63652038574219,16.45708465576172,1.1048583984375,17.561954498291016,116.61573028564453,0.4758199453353882,0.29719510674476624,0.21396663784980774,0.08833740651607513,0.6123521327972412,1.0,0.5719388127326965,0.08777741342782974,-1995.4810791015625,0.08833740651607513,0.021000467240810394,0.7875497341156006,0.0,0.15935878455638885,0.0
0.4107903838157654,56.5625,1000.0,7.0,1.4126132726669312,0.00019116594921797514,10.0,1.0030430555343628,1.0030430555343628,1.0030430555343628,0.0021517369896173477,0.0,0.9937396049499512,16384.0,-0.004338070284575224,0.023371004033833742,4.470348358154297e-08,0.002803026931360364,-0.010672311065718532,-0.3076052963733673,0.7665762901306152,-1.6550207138061523,0.3975856602191925,141.30966186523438,16.516590118408203,1.115389347076416,17.63199234008789,116.15251159667969,0.6980324387550354,0.24845367670059204,0.3146475851535797,0.041046738624572754,0.319252073764801,1.0,0.16650192439556122,0.04068158566951752,-23911.197265625,0.041046738624572754,0.0039003801066428423,0.04166208580136299,0.0,0.6928582787513733,0.0
0.47123801708221436,53.22222137451172,1000.0,8.0,1.4171591997146606,0.00016152070020325482,10.0,1.0050817728042603,1.0050818920135498,1.0050818920135498,0.0035933840554207563,0.0,0.9982528686523438,18432.0,-0.026265986263751984,-0.02192791597917676,3.725290298461914e-09,0.004617828410118818,0.0018148014787584543,0.08024495840072632,2.198728084564209,1.4321517944335938,3.151825189590454,158.89443969726562,16.43466567993164,1.1087489128112793,17.543428421020508,116.73887634277344,0.5363027453422546,0.2948985993862152,0.20876401662826538,0.06953603029251099,0.5227727890014648,1.0,0.5160607695579529,0.0687599703669548,-1855.6812744140625,0.06953603029251099,0.01825094036757946,0.4292144179344177,0.0,0.21586281061172485,0.0
0.26332396268844604,47.900001525878906,1000.0,9.0,1.420916199684143,0.00015149952378123999,10.0,1.0037587881088257,1.0037587881088257,1.0037587881088257,0.0026577801909297705,0.0,1.0020216703414917,20480.0,-0.023269958794116974,0.0029960274696350098,7.450580596923828e-09,0.0026839287020266056,-0.0019338997080922127,-0.030874237418174744,0.5495100021362305,-1.6492180824279785,2.7308788299560547,176.5698699951172,16.523521423339844,1.110471487045288,17.63400650024414,116.13923645019531,0.46752089262008667,0.28945162892341614,0.30509114265441895,0.09150142967700958,0.4884089529514313,1.0,0.26707255840301514,0.07783359289169312,-4275.23681640625,0.09150142967700958,-0.040945328772068024,0.12266165018081665,0.0,0.40379467606544495,0.0
