Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS
-0.2548105716705322,187.0,1000.0,0.0,1.4157665967941284,0.013946522027254105,10.0,0.9989585876464844,0.9989585876464844,0.9989585876464844,0.016945205628871918,0.00029940000968053937,0.9968385696411133,2048.0,-0.015532942488789558,-0.015532942488789558,0.044367365539073944,0.0290122888982296,0.0290122888982296,-0.04284224659204483,18.642562866210938,16.062427520751953,2.579854726791382,18.642314910888672,109.85759735107422
-0.4643760323524475,103.0,1000.0,1.0,1.4123610258102417,0.020158974453806877,1.0,0.9991956949234009,0.9991956949234009,0.9991956949234009,0.015284470282495022,0.00029880000511184335,0.9934454560279846,4096.0,-0.0070245880633592606,0.008508354425430298,0.00846954993903637,0.015750328078866005,-0.013261960819363594,-0.023276688531041145,34.70499038696289,15.79072380065918,0.2473773956298828,16.038131713867188,127.69568634033203
-0.24484418332576752,180.8333282470703,1000.0,2.0,1.4142334461212158,0.013545767404139042,10.0,0.9977476000785828,0.9977476000785828,0.9977476000785828,0.017803963273763657,0.0002982000005431473,0.9953337907791138,6144.0,-0.015270372852683067,-0.008245784789323807,-0.13831588625907898,0.009951508603990078,-0.005798819474875927,0.015465564094483852,52.27622604370117,15.159049987792969,2.388092517852783,17.54717445373535,116.71395111083984
-0.16269341111183167,256.625,1000.0,3.0,1.4091212749481201,0.012582577764987946,10.0,0.9963103532791138,0.9963103532791138,0.9963103532791138,0.017961880192160606,0.0002975999959744513,0.9903814196586609,8192.0,-0.018824076279997826,-0.0035537034273147583,-0.008957434445619583,0.004162473604083061,-0.005789034999907017,0.0031302375718951225,70.10565948486328,15.370272636413574,2.43620228767395,17.806516647338867,115.01407623291016
0.105721116065979,259.6000061035156,1000.0,4.0,1.4005616903305054,0.016644630581140518,10.0,0.998975396156311,0.998975396156311,0.998975396156311,0.01894225925207138,0.0002969999914057553,0.9820144772529602,10240.0,-0.017638616263866425,0.001185460016131401,-0.11245593428611755,0.0031116472091525793,-0.001050826394930482,0.04162628948688507,88.08354949951172,15.672683715820312,2.2816147804260254,17.954328536987305,114.06720733642578
0.16528062522411346,242.25,1000.0,5.0,1.3970437049865723,0.024480454623699188,1.0,0.9976551532745361,0.9976551532745361,0.9976551532745361,0.01189619954675436,0.00029639998683705926,0.9785664081573486,12288.0,-0.008512252941727638,0.009126363322138786,-0.08552350103855133,0.002372593618929386,-0.0007390535902231932,-0.013376530259847641,102.60444641113281,14.255631446838379,0.24330568313598633,14.498967170715332,141.25144958496094
0.2512081265449524,246.07142639160156,1000.0,6.0,1.3919588327407837,0.017042048275470734,10.0,0.9993034601211548,0.9993034601211548,0.9993034601211548,0.01835944876074791,0.0002958000113721937,0.9736610651016235,14336.0,-0.018790433183312416,-0.010278180241584778,-0.020080601796507835,0.002986157312989235,0.0006135636940598488,0.06345567107200623,117.34522247314453,12.606155395507812,2.1139121055603027,14.720098495483398,139.12950134277344
0.6179267764091492,233.3125,1000.0,7.0,1.3816337585449219,0.011799447238445282,10.0,0.9984616041183472,0.9984616637229919,0.9984616637229919,0.018140429630875587,0.00029520000680349767,0.9637041091918945,16384.0,-0.012118756771087646,0.00667167641222477,-0.08488574624061584,0.005318584386259317,0.0023324270732700825,-0.04776008427143097,132.57015991210938,13.058151245117188,2.1510422229766846,15.209224700927734,134.65513610839844
0.6493370532989502,208.55555725097656,1000.0,8.0,1.3754394054412842,0.013108056038618088,10.0,0.9991906881332397,0.9991907477378845,0.9991907477378845,0.020014502108097076,0.00029460000223480165,0.9577773809432983,18432.0,-0.016048934310674667,-0.003930177539587021,-0.0334727019071579,0.005910113919526339,0.0005915295332670212,0.1501762717962265,148.1194610595703,13.408056259155273,2.126892328262329,15.534978866577148,131.83152770996094
0.9014415740966797,190.14999389648438,1000.0,9.0,1.3681890964508057,0.015253739431500435,10.0,1.000802755355835,1.0008028745651245,1.0008028745651245,0.020152829587459564,0.00029399999766610563,0.9509897232055664,20480.0,-0.011178580112755299,0.004870354197919369,0.06797884404659271,0.010642978362739086,0.004732864443212748,0.28226131200790405,163.03939819335938,12.72137451171875,2.1837034225463867,14.905109405517578,137.40255737304688
