Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
-1.110579013824463,291.0,1000.0,0.0,1.4238579273223877,0.01261335238814354,10.0,0.9941137433052063,0.9941137433052063,0.9941137433052063,0.01801900379359722,0.00029940000968053937,1.0049433708190918,2048.0,-0.01654164120554924,-0.01654164120554924,0.12279248237609863,0.024541931226849556,0.024541931226849556,0.033690713346004486,40.3258056640625,40.3258056640625,0.1167340874671936,19.990129470825195,16.63630485534668,3.3535447120666504,19.98988151550293,102.45183563232422,0.01099999900907278,0.01099999900907278,0.01099999900907278,0.0
-0.2317761778831482,163.0,1000.0,1.0,1.4168592691421509,0.013438886031508446,10.0,0.9936738014221191,0.9936738014221191,0.9936738014221191,0.01772908866405487,0.00029880000511184335,0.9979857206344604,4096.0,-0.01662440039217472,-8.275918662548065e-05,-0.18574658036231995,0.007988767698407173,-0.016553163528442383,0.04143088310956955,3.971818447113037,-36.35398721694946,6.314785480499268,39.52858352661133,16.42847442626953,3.0823476314544678,19.510852813720703,104.96722412109375,0.02037535235285759,0.02037535235285759,0.02037535235285759,0.0
-0.4581740200519562,112.33333587646484,1000.0,2.0,1.4137076139450073,0.01044551469385624,10.0,1.0023480653762817,1.0023480653762817,1.0023480653762817,0.01564006321132183,0.0002982000005431473,0.9948825836181641,6144.0,-0.009884040802717209,0.006740359589457512,0.00418950617313385,0.003384757088497281,-0.004604010609909892,0.05932726711034775,1.941881537437439,-2.029936909675598,-1.413723349571228,57.295860290527344,14.67013168334961,3.0701019763946533,17.740264892578125,115.443603515625,0.029121430590748787,0.029121430590748787,0.029121430590748787,0.0
-0.295879602432251,89.25,1000.0,3.0,1.4215062856674194,0.014647942036390305,10.0,0.9987967610359192,0.9987967610359192,0.9987967610359192,0.018181215971708298,0.0002975999959744513,1.0027639865875244,8192.0,-0.01463530957698822,-0.004751268774271011,0.16194623708724976,0.0012210163986310363,-0.002163740689866245,0.016042867675423622,2.713805913925171,0.7719243764877319,1.9770630598068237,75.5290298461914,15.04719352722168,3.159409523010254,18.206632614135742,112.48648071289062,0.03731131926178932,0.03731131926178932,0.03731131926178932,0.0
-0.550268292427063,76.30000305175781,1000.0,4.0,1.4213138818740845,0.019018732011318207,10.0,0.9951114654541016,0.9951114654541016,0.9951114654541016,0.018629418686032295,0.0002969999914057553,1.0024363994598389,10240.0,-0.02103094756603241,-0.0063956379890441895,-0.17731983959674835,0.0017257940489798784,0.0005047776503488421,0.033225107938051224,3.0979182720184326,0.3841123580932617,3.5399978160858154,94.07962036132812,15.522172927856445,3.0014543533325195,18.52366065979004,110.56130981445312,0.045013803988695145,0.045013803988695145,0.045013803988695145,0.0
-0.6004242897033691,63.58333206176758,1000.0,5.0,1.4127187728881836,0.012491862289607525,10.0,0.9958906173706055,0.9958906173706055,0.9958906173706055,0.018810149282217026,0.00029639998683705926,0.9938203692436218,12288.0,-0.013690175488591194,0.0073407720774412155,-0.10465831309556961,0.0009024273604154587,-0.0008233666885644197,0.013615963980555534,0.4334662854671478,-2.664451986551285,4.2049407958984375,112.07588958740234,15.047646522521973,2.9362411499023438,17.98392105102539,113.87950897216797,0.05222627893090248,0.05222627893090248,0.05222627893090248,0.0
-0.23414185643196106,70.92857360839844,1000.0,6.0,1.3955302238464355,0.012903649359941483,10.0,0.9971702694892883,0.9971702694892883,0.9971702694892883,0.015873517841100693,0.0002958000113721937,0.9768860936164856,14336.0,-0.012174146249890327,0.0015160292387008667,-0.07489560544490814,0.0057847267016768456,0.004882299341261387,0.018430160358548164,8.217897415161133,7.784431129693985,4.885854244232178,129.79147338867188,14.79265022277832,2.9049346446990967,17.697616577148438,115.7218017578125,0.059172965586185455,0.059172965586185455,0.059172965586185455,0.0
-0.11545208096504211,63.375,1000.0,7.0,1.3860218524932861,0.020112134516239166,1.0,0.9987679719924927,0.9987679719924927,0.9987679719924927,0.016395218670368195,0.00029520000680349767,0.9676367044448853,16384.0,-0.01030917651951313,0.0018649697303771973,0.07212306559085846,0.0030100028961896896,-0.002774723805487156,0.09503282606601715,3.1280150413513184,-5.0898823738098145,6.255712509155273,144.67523193359375,14.549308776855469,0.3160979747772217,14.865438461303711,137.7692413330078,0.06583256274461746,0.06583256274461746,0.06583256274461746,0.0
0.2724760174751282,64.44444274902344,1000.0,8.0,1.3775867223739624,0.014387562870979309,10.0,0.9959880113601685,0.9959880113601685,0.9959880113601685,0.017638733610510826,0.00029460000223480165,0.9595583081245422,18432.0,-0.010613782331347466,-0.00030460581183433533,-0.1845199316740036,0.0076374635100364685,0.004627460613846779,0.06686178594827652,3.881131649017334,0.7531166076660156,3.800569534301758,161.09237670898438,13.46334457397461,2.927576780319214,16.390953063964844,124.94697570800781,0.0722837746143341,0.0722837746143341,0.0722837746143341,0.0
0.45336541533470154,68.8499984741211,1000.0,9.0,1.3636372089385986,0.024817558005452156,9.0,0.9992941617965698,0.9992941617965698,0.9992941617965698,0.016029801219701767,0.00029399999766610563,0.9463398456573486,20480.0,-0.011882762424647808,-0.0012689800933003426,-0.29189252853393555,0.003305046819150448,-0.004332416690886021,-0.01771445758640766,10.497364044189453,6.616232395172119,3.3814234733581543,178.8803253173828,15.040302276611328,2.7300214767456055,17.770357131958008,115.24810791015625,0.07862680405378342,0.07862680405378342,0.07862680405378342,0.0
